 Способ размещения заказа; Наименование заказа; Начальная (максимальная) цена контракта (лота); Организация, размещающая заказ; Этап размещения заказа; Дата начала подачи заявок; Дата окончания подачи заявок
 Запрос котировок; Поставка продуктов питания.; 480 039,57; Администрация муниципального образования Люберецкий муниципальный район Московской области; Подача заявок; 21.01.2013; 29.01.2013
 Запрос котировок; Поставка молока; 85 000,00;" муниципальное образовательное учреждение для детей дошкольного и младшего школьного возраста ""Прогимназия № 237 ""Семицветик"" г. Саратова"; Подача заявок; 21.01.2013; 25.01.2013
 Запрос котировок; Поставка лекарственных средств; 99 266,70;" государственное бюджетное учреждение здравоохранения ""Специализированная клиническая детская инфекционная больница"" министерства здравоохранения Краснодарского края"; Подача заявок; 21.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; Поставка мяса говядины; 156 600,00; администрация муниципального образования городского округа город Вятские Поляны Кировской области; Подача заявок; 18.01.2013; 28.01.2013
 Открытый аукцион в электронной форме; Закупка бензина Аи-92 для нужд филиалов ФБУЗ «Центр гигиены и эпидемиологии в Ростовской области» в городах и районах; 1 595 405,00;" Федеральное бюджетное учреждение здравоохранения ""Центр гигиены и эпидемиологии в Ростовской области"""; Подача заявок; 18.01.2013; 28.01.2013
 Открытый аукцион в электронной форме; Оказание услуг по содержанию (техническому обслуживанию) спецоборудования воздушного пункта пропуска «Сочи» в терминале «С» аэропорта Сочи.; 6 759 222,95;" филиал федерального государственного казенного учреждения ""Дирекция по строительству и эксплуатации объектов Росграницы"" в г. Сочи"; Подача заявок; 18.01.2013; 08.02.2013
 Запрос котировок; Размещение заказа на поставку наркотических средств на 1-ое полугодие 2013 года для МБУЗ ЦРБ Шолоховского района; 14 506,50;" Муниципальное бюджетное учреждение здравоохранения ""Центральная районная больница"" Шолоховского района Ростовской области"; Подача заявок; 18.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; Открытый аукцион в электронной форме на право заключения гражданско-правового договора на поставку лекарственных средств, препаратов для лечения инфекционных заболеваний- ципрофлоксацины, группы 56, для нужд Государственного бюджетного учреждения здравоохранения города Москвы Городской клинической больницы № 60 Департамента здравоохранения города Москвы в 2013 году; 140 660,40; Государственное учреждение здравоохранения города Москвы Городская клиническая больница №60 Департамента здравоохранения города Москвы; Подача заявок; 18.01.2013; 28.01.2013
 Запрос котировок; поставка салфеток спиртовых инъекционных; 17 200,00;" бюджетное учреждение здравоохранения Удмуртской Республики ""Удмуртский республиканский центр по профилактике и борьбе со СПИДом и инфекционными заболеваниями"""; Подача заявок; 21.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; Поставка продуктов питания (молоко и молочные продукты) для нужд муниципальных образовательных учреждений города Армавира; 2 852 765,18; Управление по закупкам для муниципальных нужд администрации муниципального образования город Армавир; Подача заявок; 18.01.2013; 28.01.2013
 Запрос котировок; оказание услуг по уборке административных помещений прокуратуры Мурманской области: г.Кола, ул.Андрусенко, д.10; 20 685,60; Прокуратура Мурманской области; Подача заявок; 18.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; Выполнение работ по содержанию 12 спортивных площадок, расположенных на территории внутригородского муниципального образования Щукино в городе Москве; 755 700,00; Муниципалитет внутригородского муниципального образования Щукино в городе Москве; Подача заявок; 18.01.2013; 25.01.2013
 Запрос котировок;" Поставка хлебобулочных изделий  для нужд ГКУ ""ГКС(К)ОУ ""Школа - интернат №1 V вида г.Саратова"" (для субъектов малого предпринимательства)"; 56 299,94;" государственное казенное специальное (коррекционное) образовательное учреждение Саратовской области для обучающихся, воспитанников с ограниченными возможностями здоровья ""Специальная (коррекционная) общеобразовательная школа-интернат № 1 V вида г. Саратова"""; Подача заявок; 21.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; Приобретение в 2013 году запасных частей для автомобилей стоящих на балансе ГБОУ школа № 102 Выборгского района Санкт-Петербурга; 649 962,96; Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 102 Выборгского района Санкт-Петербурга; Подача заявок; 18.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; Поставка бумаги для офисной техники; 1 179 000,00;" федеральное казенное учреждение ""Центр хозяйственного и сервисного обеспечения Управления Министерства внутренних дел Российской Федерации по Кировской области"""; Подача заявок; 18.01.2013; 28.01.2013
 Запрос котировок; Уборка прилегающей территории к административному зданию Арбитражного суда Курганской области; 400 000,00; Арбитражный суд Курганской области; Подача заявок; 21.01.2013; 30.01.2013
 Запрос котировок; поставка операционных систем и выполнение работ по их установке на персональные компьютеры Государственного заказчика; 220 500,00;" государственное казенное учреждение ""Калининградская областная фармацевтическая компания"""; Подача заявок; 21.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; Поставка продуктов питания (молоко и молочные продукты) для нужд муниципальных образовательных учреждений города Армавира; 2 996 600,84; Управление по закупкам для муниципальных нужд администрации муниципального образования город Армавир; Подача заявок; 18.01.2013; 28.01.2013
 Открытый аукцион в электронной форме; Поставка инструментов для эндоскопии; 2 205 057,00;" Государственное бюджетное учреждение здравоохранения города Москвы ""Городская клиническая больница № 24"" Департамента здравоохранения города Москвы"; Подача заявок; 18.01.2013; 28.01.2013
 Открытый аукцион в электронной форме; Закупка  говядины бескостной; 73 668,00; Администрация муниципального образования Тихорецкий район; Подача заявок; 18.01.2013; 27.01.2013
 Открытый конкурс; Открытый конкурс на право заключения договора на оказание услуг по проведению аудита консолидированной финансовой отчетности Государственной корпорации «Ростехнологии» по МСФО ; 104 000 000,00;" Государственная корпорация по содействию разработке, производству и экспорту высокотехнологичной промышленной продукции ""Ростехнологии"""; Подача заявок; 18.01.2013; 18.02.2013
 Открытый аукцион в электронной форме; Поставка реагентов и расходных материалов для бактериологической лаборатории(аукцион №61); 813 015,97;" федеральное государственное бюджетное учреждение ""Нижегородский научно-исследовательский институт травматологии и ортопедии"" Министерства здравоохранения Российской Федерации"; Подача заявок; 18.01.2013; 28.01.2013
 Запрос котировок; Выполнение работ по зимнему  содержанию дорог Ильинского городского поселения; 190 000,00; Администрация Ильинского городского поселения Ильинского муниципального района Ивановской области; Подача заявок; 21.01.2013; 24.01.2013
 Открытый аукцион в электронной форме; Поставка продуктов питания (молоко и молочные продукты) для нужд муниципальных образовательных учреждений города Армавира; 2 898 053,60; Управление по закупкам для муниципальных нужд администрации муниципального образования город Армавир; Подача заявок; 18.01.2013; 28.01.2013
 Запрос котировок;" Поставка молочной продукции для нужд ФГБОУ ВПО ""ЮРГТУ(НПИ)""."; 131 268,75;" федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Южно-Российский государственный технический университет (Новочеркасский политехнический институт)"""; Подача заявок; 21.01.2013; 25.01.2013
 Запрос котировок; Поставка угля каменного марки «ДР» или эквивалента.; 244 620,00;" Администрация муниципального образования ""Базарносызганский район"""; Подача заявок; 21.01.2013; 29.01.2013
 Открытый аукцион в электронной форме; Поставка продуктов питания (молоко и молочные продукты) для нужд муниципальных образовательных учреждений города Армавира; 2 977 109,30; Управление по закупкам для муниципальных нужд администрации муниципального образования город Армавир; Подача заявок; 18.01.2013; 28.01.2013
 Запрос котировок; Выполнение ремонта системы теплоснабжения по ул. Ленина, 29, г. Курск; 61 900,00;" областное бюджетное учреждение здравоохранения ""Областной перинатальный центр"""; Подача заявок; 21.01.2013; 25.01.2013
 Открытый конкурс; Лот № 1. Разработка проектно - сметной документации по объекту: «Новое здание для МБДОУ ДС №2  «Малышок» в пгт. Новомихайловский, по ул. Мира, 67а»; 5 415 827,00; исполнительно-распорядительный орган муниципального образования - администрация муниципального образования Туапсинский район; Подача заявок; 18.01.2013; 21.02.2013
 Запрос котировок; Выполнение работ по ремонту деформационного шва на мосту через ерик Макарка на участке км 1+500 автомобильной дороги общего пользования регионального значения Володарский - Кошеванка.; 464 867,15;" Государственное казенное учреждение Астраханской области ""Управление автомобильными дорогами общего пользования ""Астраханьавтодор"""; Подача заявок; 21.01.2013; 30.01.2013
 Запрос котировок; поставка многофункциональных устройств (принтер, копир, сканер); 143 100,00;" государственное казенное учреждение ""Калининградская областная фармацевтическая компания"""; Подача заявок; 21.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; Оказание услуг по комплексной уборке помещений административных зданий и прилегающей территории территориальных налоговых органов  Управления Федеральной налоговой службы по Алтайскому краю в г. Барнауле в 1 полугодии 2013 года; 2 475 000,00; Управление Федеральной налоговой службы по Алтайскому краю; Подача заявок; 18.01.2013; 28.01.2013
 Запрос котировок; Поставка государственных знаков почтовой оплаты (почтовых марок и маркированных конвертов с литерой «А») для нужд Управления Федеральной службы государственной регистрации, кадастра и картографии по Курской области; 495 250,00; Управление Федеральной службы государственной регистрации, кадастра и картографии по Курской области; Подача заявок; 21.01.2013; 30.01.2013
 Открытый аукцион в электронной форме; Закупка  молока и молочной продукции; 106 339,20; Администрация муниципального образования Тихорецкий район; Подача заявок; 18.01.2013; 27.01.2013
 Открытый аукцион в электронной форме; Закупка ГСМ для нужд ФБУЗ «Центр гигиены и эпидемиологии в Ростовской области» и филиалов в г. Ростове-на-Дону, г. Таганроге, Аксайском районе; 1 509 430,00;" Федеральное бюджетное учреждение здравоохранения ""Центр гигиены и эпидемиологии в Ростовской области"""; Подача заявок; 18.01.2013; 28.01.2013
 Открытый аукцион в электронной форме; оказание услуг по сканированию, оцифровке документов для Электронного архива ЦБ МГУ (1 услуга)   (а-3965); 1 500 000,00;" федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Московский государственный университет имени М.В.Ломоносова"""; Подача заявок; 30.12.2012; 26.01.2013
 Открытый аукцион в электронной форме; Выполнение ремонтных работ в ГБОУ №517 Выборгского района по адресу: Санкт-Петербург, пр. Раевского, д.18, лит. А в 2013 году.; 1 916 922,41; Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 517 с углубленным изучением предметов экономического профиля Выборгского района Санкт-Петербурга; Подача заявок; 18.01.2013; 11.03.2013
 Запрос котировок; Оказание услуг по комплексной уборке и бытовому содержанию помещений, внутренней и прилегающей территории Прокуратуры Республики Адыгея и его структурных подразделений расположенных по Республике Адыгея.; 499 000,00; Прокуратура Республики Адыгея; Подача заявок; 21.01.2013; 30.01.2013
 Открытый аукцион в электронной форме; Оказание услуг по проведению качественной уборки помещений и прилегающей территории учебного корпуса Университета; 2 394 097,60;" федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Московский государственный гуманитарный университет имени М.А. Шолохова"""; Подача заявок; 18.01.2013; 28.01.2013
 Запрос котировок; Поставка горюче-смазочного материала по топливным картам с АЗС поставщика  для нужд МБУ «ЦРБ Руднянского муниципального района»  в I квартале 2013 года; 365 228,50;" Муниципальное бюджетное учреждение Руднянского муниципального района Волгоградской области ""Центральная районная больница Руднянского муниципального района"""; Подача заявок; 29.12.2012; 17.01.2013
 Запрос котировок; оказание услуг по уборке административных помещений прокуратуры Мурманской области: г.Кола, пер. Островского , д.8; 6 623,20; Прокуратура Мурманской области; Подача заявок; 18.01.2013; 25.01.2013
 Запрос котировок; Оказание услуг по содержанию помещений ; 386 950,00;" федеральное казенное учреждение ""Центр хозяйственного и сервисного обеспечения Управления Министерства внутренних дел Российской Федерации по Кировской области"""; Подача заявок; 21.01.2013; 30.01.2013
 Открытый аукцион в электронной форме; Оказание услуг по выполнению санитарно-эпидемиологических исследований и экспертиз; 193 580,74;" государственное бюджетное учреждение здравоохранения Свердловской области ""Детская городская больница № 2 город Каменск-Уральский"""; Подача заявок; 18.01.2013; 26.01.2013
 Запрос котировок; Поставка продуктов питания.; 481 767,12; Администрация муниципального образования Люберецкий муниципальный район Московской области; Подача заявок; 21.01.2013; 29.01.2013
 Открытый аукцион в электронной форме; Оказание услуг телефонной связи (с использованием УПАТС УМВД России по Смоленской области) для нужд УМВД России по Смоленской области.; 1 300 000,00;" федеральное казенное учреждение ""Центр хозяйственного и сервисного обеспечения Управления Министерства внутренних дел Российской Федерации по Смоленской области"""; Подача заявок; 18.01.2013; 28.01.2013
 Запрос котировок; Оказание услуг по публикации нормативно-правовых актов и информационных материалов Администрации городского поселения Серебряные Пруды Московской области; 499 154,00; Администрация городского поселения Серебряные Пруды Московской области; Подача заявок; 21.01.2013; 29.01.2013
 Запрос котировок; поставка медицинских масок ; 30 000,00;" бюджетное учреждение здравоохранения Удмуртской Республики ""Удмуртский республиканский центр по профилактике и борьбе со СПИДом и инфекционными заболеваниями"""; Подача заявок; 21.01.2013; 25.01.2013
 Запрос котировок; Оказание образовательных услуг по профессиональному обучению безработных граждан по профессии оператор котельной. ; 96 000,00; Государственное казенное учреждение Московской области Раменский центр занятости населения; Подача заявок; 21.01.2013; 25.01.2013
 Запрос котировок; ЗК.13/08 Поставка лекарственных препаратов – производных  салициловой кислоты, пиразолона и парааминофенола, средств химико-фармацевтические фармакотерапевтического действия ; 457 054,85;" Федеральное государственное бюджетное учреждение ""Центральный научно-исследовательский институт туберкулеза"" Российской академии медицинских наук"; Подача заявок; 21.01.2013; 29.01.2013
 Запрос котировок; Закупка котельно-печного топлива на февраль-апрель 2013г; 453 966,00; муниципальное бюджетное общеобразовательное учреждение основная общеобразовательная школа № 18; Подача заявок; 18.01.2013; 30.01.2013
 Открытый аукцион в электронной форме; Выполнение работ по содержанию 12 спортивных площадок, расположенных на территории внутригородского муниципального образования Щукино в городе Москве; 1 207 305,00; Муниципалитет внутригородского муниципального образования Щукино в городе Москве; Подача заявок; 18.01.2013; 25.01.2013
 Запрос котировок; оказание услуг по проведению учебных занятий по лыжной подготовке; 64 500,00; Управление Федеральной службы Российской Федерации по контролю за оборотом наркотиков по Республике Татарстан; Подача заявок; 21.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; на техническое обслуживание оборудования бассейна с собственной инженерной системой водоподготовки имеющих систему озонирования ФКУЗ «Санаторий-профилакторий «Федосьино» ВВ МВД России»; 19 025 000,00;" федеральное казенное учреждение здравоохранения ""Санаторий-профилакторий ""Федосьино"" внутренних войск Министерства внутренних дел Российской Федерации"""; Подача заявок; 18.01.2013; 04.02.2013
 Открытый аукцион в электронной форме; на право заключения государственного контракта на оказание услуг по разработке макетов, изготовлению и поставке информационно-разъяснительной печатной продукции в 2013 году ; 180 110,00; Государственное учреждение - Архангельское региональное отделение Фонда социального страхования Российской Федерации; Подача заявок; 18.01.2013; 04.02.2013
 Открытый аукцион в электронной форме; АР-0109/13 на поставку молочных продуктов; 1 268 895,00; Управление государственных закупок Тюменской области; Подача заявок; 18.01.2013; 28.01.2013
 Запрос котировок; запрос котировок № 9-13зк на право заключения договора на оказание услуг по ремонту и техническому обслуживанию холодильного и торгово-технологического оборудования; 144 100,00;" бюджетное учреждение здравоохранения Удмуртской Республики ""Городская клиническая больница № 7 Министерства здравоохранения Удмуртской Республики"""; Подача заявок; 21.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; Выполнение работ по капитальному ремонту участка лестницы в г. Североморске; 2 755 062,75;" Муниципальное казенное учреждение ""Городской центр жилищно-коммунального хозяйства ЗАТО г. Североморск"""; Подача заявок; 18.01.2013; 28.01.2013
 Запрос котировок; Оказание услуг по выполнению бактериологических исследований  для нужд ГБУЗ ЯО  «Тутаевская ЦРБ»; 354 748,00;" государственное бюджетное учреждение здравоохранения Ярославской области ""Тутаевская центральная районная больница"""; Подача заявок; 21.01.2013; 30.01.2013
 Открытый конкурс; Оказание услуг по сопровождению и развитию комплекса программных средств для ведения бюджетного учета и составления отчетности; 19 500 000,00; Министерство природных ресурсов и экологии Российской Федерации; Подача заявок; 18.01.2013; 18.02.2013
 Открытый конкурс; Создание системы защиты персональных данных в информационных системах персональных данных службы обеспечения мировых судей Чеченской Республики; 59 897 333,00; Комитет Правительства Чеченской Республики по государственному заказу; Подача заявок; 18.01.2013; 07.02.2013
 Запрос котировок; Средства, влияющие на процессы обмена; 95 000,00;" Государственное казенное специализированное стационарное учреждение социального обслуживания ""Петроввальский дом-интернат для умственно отсталых детей"""; Подача заявок; 21.01.2013; 25.01.2013
 Запрос котировок; Запрос котировок на приобретение медицинского оборудования (стерилизатор паровой) АВТОКЛАВ  ГК – 10-1  для нужд ОБУЗ «Солнцевская ЦРБ»; 47 950,00;" Областное бюджетное учреждение здравоохранения ""Солнцевская центральная районная больница"" комитета здравоохранения Курской области"; Подача заявок; 21.01.2013; 29.01.2013
 Открытый аукцион в электронной форме; Закупка  молока и молочных продуктов  для МБДОУ №4 «Росинка» г. Тихорецка; 203 502,30; Администрация муниципального образования Тихорецкий район; Подача заявок; 18.01.2013; 27.01.2013
 Запрос котировок; Средства, действующие на вегетативную нервную систему и чувствительные нервные окончания; 63 000,00;" Государственное казенное специализированное стационарное учреждение социального обслуживания ""Петроввальский дом-интернат для умственно отсталых детей"""; Подача заявок; 21.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; среди субъектов малого предпринимательства на оказание услуг по камерной дезинфекции постельных принадлежностей для нужд Муниципального бюджетного учреждения городского округа Балашиха «Центральная районная больница» на 2013 год; 1 826 000,00; Администрация городского округа Балашиха; Подача заявок; 18.01.2013; 25.01.2013
 Запрос котировок; поставка твердого топлива (уголь рядовой марки Д Кузнецкий (или эквивалент), антрацит марки АС (эквивалент)) для нужд МКОУ «Казанская средняя общеобразовательная школа» Золотухинского района Курской области; 156 420,00;" Муниципальное казенное общеобразовательное учреждение ""Казанская средняя общеобразовательная школа"" Золотухинского района Курской области"; Подача заявок; 21.01.2013; 24.01.2013
 Запрос котировок; Препараты для лечения инфекционных заболеваний; 75 000,00;" Государственное казенное специализированное стационарное учреждение социального обслуживания ""Петроввальский дом-интернат для умственно отсталых детей"""; Подача заявок; 21.01.2013; 25.01.2013
 Запрос котировок; Оказание услуг по проведению ежедневных предрейсовых медицинских осмотров водителя филиала № 26 Государственного учреждения - Нижегородского регионального отделения Фонда социального страхования Российской Федерации в 2013 году. ; 15 960,00; Государственное учреждение - Нижегородское региональное отделение Фонда социального страхования Российской Федерации; Подача заявок; 21.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; № 2а/ПР-2013. Разработка проектной документации на аварийно-восстановительные работы поврежденного объекта: «Мост через р. Шуверга на км 14+000 автомобильной дороги «р.п. Торбеево – с. Виндрей» в Торбеевском муниципальном районе Республики Мордовия».; 157 231,00;" Государственное казенное учреждение ""Управление автомобильных дорог Республики Мордовия"""; Подача заявок; 18.01.2013; 28.01.2013
 Запрос котировок; Оказание услуг по вывозу и размещению твердых бытовых отходов с объектов УМВД России по Калининградской области; 138 000,00; Управление Министерства внутренних дел Российской Федерации по Калининградской области; Подача заявок; 18.01.2013; 24.01.2013
 Запрос котировок; Психотропные препараты; 260 000,00;" Государственное казенное специализированное стационарное учреждение социального обслуживания ""Петроввальский дом-интернат для умственно отсталых детей"""; Подача заявок; 21.01.2013; 30.01.2013
 Открытый аукцион в электронной форме; Подготовка и производство работ по оформлению территории Северо-Восточного административного округа к праздничным датам и событиям в первом полугодии 2013 года; 12 827 304,37; Префектура Северо-Восточного административного округа города Москвы; Подача заявок; 18.01.2013; 08.02.2013
 Открытый аукцион в электронной форме;" Размещение заказа на капитальное  строительство объекта: ""Детский сад на 220 мест с плавательным бассейном (г. Батайск, микрорайон «Северный»)""."; 165 383 630,00; Администрация города Батайска; Подача заявок; 18.01.2013; 11.02.2013
 Открытый аукцион в электронной форме; Закупка:    мясо говядина мякоть (отруб из говядины), цыплята-бройлеры 1 категории для МБДОУ №4 «Росинка» г. Тихорецка; 125 268,60; Администрация муниципального образования Тихорецкий район; Подача заявок; 18.01.2013; 27.01.2013
 Запрос котировок; Поставка продуктов питания.; 482 623,64; Администрация муниципального образования Люберецкий муниципальный район Московской области; Подача заявок; 21.01.2013; 29.01.2013
 Запрос котировок; Оказание услуг по страхованию имущества-нежилых отдельно стоящих зданий и нежилых встроенных помещений, являющихся муниципальной собственностью Северодвинска (Приложение № 1 к муниципальному контракту).; 150 000,00; Комитет по управлению муниципальным имуществом и земельным отношениям Администрации Северодвинска; Подача заявок; 21.01.2013; 25.01.2013
 Открытый аукцион в электронной форме; Поставка перчаток медицинских для нужд ОГБУЗ «Костромская областная  детская больница» на 1 квартал 2013г.; 126 184,00; департамент экономического развития, промышленности и торговли Костромской области; Подача заявок; 18.01.2013; 28.01.2013
 Запрос котировок; Техническое обслуживание и ремонт автоматических установок газового пожаротушения ; 197 450,00;" федеральное государственное бюджетное учреждение ""Всероссийский научно-исследовательский институт гидрометеорологической информации - Мировой центр данных"""; Подача заявок; 21.01.2013; 24.01.2013
 Открытый аукцион в электронной форме; Оказание транспортных услуг специализированной техники  для выполнения работ по благоустройству города; 499 963,32; Администрация Славянского городского поселения Славянского района; Подача заявок; 18.01.2013; 28.01.2013
 Открытый аукцион в электронной форме; Оказание услуг по  монтажу, демонтажу и наладке дополнительного оборудования на легковые автомобили; 3 000 000,00;" федеральное государственное бюджетное учреждение ""Транспортный комбинат ""Россия"" Управления делами Президента Российской Федерации"; Подача заявок; 18.01.2013; 25.01.2013
 Запрос котировок; оказание услуг по уборке административных помещений прокуратуры Мурманской области: г.Мурманск, ул.Халатина, д. 5; 19 250,80; Прокуратура Мурманской области; Подача заявок; 18.01.2013; 25.01.2013
 Запрос котировок; Техническое обслуживание автоматической системы пожарной сигнализации и системы речевого оповещения и управления эвакуацией людей при пожаре 3-го типа ; 115 500,00;" федеральное государственное бюджетное учреждение ""Всероссийский научно-исследовательский институт гидрометеорологической информации - Мировой центр данных"""; Подача заявок; 21.01.2013; 24.01.2013
 Открытый аукцион в электронной форме; Открытый аукцион в электронной форме на право заключения государственного контракта на оказание автотранспортных услуг для нужд  ГБОУ ДПО (повышение квалификации) специалистов г. Москвы методический центр Юго-Восточного окружного управления образования Департамента образования г. Москвы в 2013 году; 1 557 360,00; Государственное бюджетное образовательное учреждение дополнительного профессионального образования (повышения квалификации) специалистов города Москвы методический центр Юго-Восточного окружного управления образования Департамента образования города Москвы; Подача заявок; 18.01.2013; 25.01.2013
